"organism","target_version"
"Agaricus_bisporus_bisporus","Agabi_varbisH97_2"
"Amanita_bisporigera","ASM198336v1"
"Amanita_brunnescens","ASM169178v1"
"Amanita_inopinata","ASM169177v"
"Amanita_jacksonii","AmaJack1.0"
"Amanita_muscaria","v1.0"
"Amanita_phalloides","ASM198338v1"
"Amanita_polypyramis","ASM169175v1"
"Anthracocystis_flocculosa","Pflocc_1.0"
"Apiotrichum_brassicae","assembly_v001"
"Apiotrichum_domesticum","JCM_9580_assembly_v001"
"Armillaria_fuscipes","ASM167982v1"
"Auricularia_subglabra","SS-5_V1.0"
"Baeospora_myosurus","v8"
"Basidiobolus_meristosporus","BasMerB9252-1.0"
"Blumeria_graminis","ASM15106v3"
"Calocera_cornea","Calco1"
"Calocera_viscosa","Calvi1"
"Clavaria_fumosa","l100"
"Conidiobolus_incongruus","ConIncB7586-1.0"
"Coprinopsis_cinerea","CC3"
"Dioszegia_crocea","v001"
"Exidia_glandulosa","Exigl1"
"Flammulina_velutipes","Fv1.0"
"Fomitopsis_pinicola","Fompi3"
"Gloeophyllum_trabeum","Glotr1_1"
"Gymnopus_luxurians","Gymlu1"
"Hebeloma_cylindrosporum","h7_v2.0"
"Holtermannia_corniformis","JCM_1743_assembly_v001"
"Holtermanniella_nyarrowii","JCM_11471_assembly_v001"
"Jaapia_argillacea","Jaaar1"
"Kwoniella_heveanensis","Cryp_heve_BCC8398_V1"
"Laccaria_amethystina","LaAM-08-1_v1.0"
"Laetiporus_sulphureus","Laesu1"
"Lentinus_polychrous","ASM78747v1"
"Leptoxyphium_fumago","Cfu_V1.2"
"Leucoagaricus_gongylophorus","LAG"
"Lignosus_rhinocerotis","LigRhi1.0"
"Lodderomyces_elongisporus","ASM14968v1"
"Macrocystidia_cucumis","v8"
"Macrophomina_phaseolina","MphMS6_1.0"
"Madurella_mycetomatis","ASM127576v2"
"Magnaporthe_grisea","ASM154881v1"
"Magnaporthe_oryzae","MG8"
"Magnaporthiopsis_poae","Mag_poae_ATCC_64411_V1"
"Malassezia_caprae","ASM126462v1"
"Marssonina_brunnea","ASM29877v1"
"Metarhizium_acridum","MetAcr_May2010"
"Mixia_osmundae","v1.0"
"Moniliophthora_roreri","MCA_2997_v1"
"Mrakia_blollopis","ASM95063v1"
"Mucor_racemosus","MucRacB9645"
"Parasitella_parasitica","PP.v1"
"Phellinus_noxius","Newbler_2.8"
"Postia_placenta","V1.0"
"Puccinia_triticina","P_triticina_1_1_V2"
"Purpureocillium_lilacinum","ASM165320v1"
"Pyrenochaeta_lycopersici","P_lyc_v1"
"Pyrenophora_teres","PyrTer_1.0"
"Raffaelea_quercivora","JCM_11526_assembly_v001"
"Rhizophagus_irregularis","Rir"
"Saccharomyces_arboricola","SacArb1.0"
"Saccharomyces_bayanus","ASM16703v1"
"Saccharomyces_carlsbergensis","CBS1513"
"Saccharomyces_cerevisiae","ASM141397v1"
"Saccharomyces_eubayanus","SEUB3.0"
"Saccharomyces_kudriavzevii","FM1066_v1.0"
"Saccharomyces_mikatae","ASM16697v1"
"Saccharomyces_paradoxus","ASM16695v1"
"Saccharomyces_uvarum","ASM16699v1"
"Saitoella_complicata","Scomplicata_3.0"
"Sarocladium_oryzae","ASM160584v1"
"Scedosporium_apiospermum","ScApio1.0"
"Scedosporium_aurantiacum","ASM81207v1"
"Scheffersomyces_lignosus","JCM_9837_assembly_v001"
"Scheffersomyces_stipitis","ASM20916v1"
"Schizopora_paradoxa","Schpa1"
"Schizosaccharomyces_cryophilus","SCY4"
"Schizosaccharomyces_japonicus","SJ5"
"Sphaerobolus_stellatus","Sphst1"
"Stachybotrys_echinata","JCM_22618_assembly_v001"
"Suillus_luteus","Suilu1"
"Tilletia_walkeri","ASM164505v1"
"Trametes_cinnabarina","BN946"
"Trametes_hirsuta","sc6"
"Trametes_sp_AH28-2","ASM130462v1"
"Trametes_versicolor","v1.0"
"Tremella_fuciformis","ASM98790v1"
"Tremella_mesenterica","Treme1"
"Tricholoma_matsutake","Tricma30605_assembly01"
"Trichosporon_asahii","Trichosporon_asahii_1"
"Trichosporon_cutaneum","ASM161375v1"
"Trichosporon_guehoae","v001"
"Tuber_melanosporum","ASM15164v1"
"Tulasnella_calospora","AL13_4D_v1.0"
"Uromyces_viciae-fabae","ASM78568v1"
"Ustilago_hordei","ASM28603v1"
"Vanrija_humicola","v001"
"Wolfiporia_cocos","Wolco1"
