sequenceID	name	full_name	superorder	order	family	genus	clade	host range	isolation_source
NC_043432	CsDNAv	Chaetoceros setoense DNA virus	Arfiviricetes	Baphyvirales	Bacilladnaviridae	Diatodnavirus	Unclassified	Unknown	Unknown
NC_033746	GaBacV1	Amphibola crenata associated bacilladnavirus 1	Arfiviricetes	Baphyvirales	Bacilladnaviridae	Protobacilladnavirus	Unclassified	Unknown	Unknown
NC_001792	PCV-1	Porcine circovirus 1	Arfiviricetes	Circlivirales	Circoviridae	Circovirus	Mammal-1	Sus scrofa	Sus scrofa
KJ831064	CyV-SL-108277	Cyclovirus SL-108277	Arfiviricetes	Circlivirales	Circoviridae	Cyclovirus	Unclassified	Unknown	Unknown
NC_026639	AHEaCV-13	Avon-Heatchote Estuary Associated Virus 13	Arfiviricetes	Circlivirales	CRESS-1	CRESS-1	Unclassified	Unknown	Metagenome
NC_025683	CvPo-41	Po-Circo-like virus 41	Arfiviricetes	Circlivirales	CRESS-2	CRESS-2	Unclassified	Unknown	Unknown
JN857329	batCV-Sc703	Circoviridae batCV-SC703	Arfiviricetes	Circlivirales	CRESS-3	CRESS-3	Unclassified	Unknown	Unknown
MF669476	CBSV	Cattle blood-associated circovirus-like virus 	Arfiviricetes	Cremevirales	Smacoviridae	Porprismacovirus	Smacovirus	Unknown	Unknown
NC_003479	BBTV	Banana bunchy top virus	Arfiviricetes	Mulparvirales	Nanoviridae	Babuvirus	Unclassified	Unknown	Unknown
NC_003813	SCSV	Subterranean clover stunt virus	Arfiviricetes	Mulparvirales	Nanoviridae	Nanovirus	Unclassified	Unknown	Unknown
MK059757	Hla-Brisavirus	Human lung-associated brisavirus RC	Arfiviricetes	Recrevirales	Redondoviridae	Brisavirus	Brisavirus	Unknown	Unknown
MK059763	HLVV	Human lung-associated vientovirus FB	Arfiviricetes	Recrevirales	Redondoviridae	Vientovirus	Vientovirus	Unknown	Unknown
NC_010417	BCTIV	Beet curly top Iran virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Becurtovirus	Unclassified	Unknown	Unknown
KJ888053	EaCMKv	East African cassava mosaic Kenya virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Unclassified	Unknown	Unknown
NC_027714	ALCV	Alfalfa leaf curl virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Capulavirus	Unclassified	Unknown	Unknown
NC_001412	BCTV	Beet curly top virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Curtovirus	Unclassified	Unknown	Unknown
NC_012664	ECSV	Eragrostis curvula streak virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Eragrovirus	Unclassified	Unknown	Unknown
NC_043533	PrunusLV	Prunus latent virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Grablovirus	Unclassified	Unknown	Unknown
NC_040792	RiceLV	Rice latent virus 1	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Unclassified	Unknown	Unknown
NC_003825	TpSTV	Tomato pseudo-curly top virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Topocuvirus	Unclassified	Unknown	Unknown
NC_029117	TLFV	Turnip leaf roll virus	Repensiviricetes	Geplafuvirales	Geminiviridae	Turncurtovirus	Unclassified	Unknown	Unknown
JQ412057	C-aGmycV	Cassava associated gemycircularvirus 1	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Unclassified	Unknown	Unknown
JX185428	D-aGmydgV	Dragonfly-associated circular virus 3	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemyduguivirus	Unclassified	Unknown	Unknown
JX185429	D-aGmygV	Dragonfly-associated circular virus 2	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemygorvirus	Unclassified	Unknown	Unknown
KF371631	F-aGmykzV	Faecal-associated gemycircularvirus 11	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemykroznavirus	Unclassified	Unknown	Unknown
KF371630	F-aGmytV	Faecal-associated gemycircularvirus 12	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemytondvirus	Unclassified	Unknown	Unknown
