sequenceID	name	full_name	genus	clade	host range	isolation_source
NC_001944	BFDV	Beak and feather disease virus	Circovirus	Avian-1	Aves	Psittaciformes
NC_002361	CoCV	Columbid circovirus	Circovirus	Avian-1	Columba livia	Columba livia
NC_008033	StCV	Starling circovirus	Circovirus	Avian-1	Sturnus vulgaris	Sturnus vulgaris
NC_003410	CaCV	Canary circovirus	Circovirus	Avian-1	Serinus canaria	Serinus canaria
NC_008033	SvCV	Starling circovirus	Circovirus	Avian-1	Sturnus vulgaris	Sturnus vulgaris
NC_008375	RaCV	Raven circovirus	Circovirus	Avian-1	Corvus coronoides	Corvus coronoides
NC_008521	GuCV	Gull circovirus	Circovirus	Avian-1	Larus argentatus	Larus argentatus
NC_008522	FiCV	Finch circovirus	Circovirus	Avian-1	Chloebia gouldiae	Chloebia gouldiae
NC_026945	ZfCV	Zebra finch circovirus	Circovirus	Avian-1	Taeniopygia guttata	Taeniopygia guttata
NC_007220	DuCV	Duck circovirus	Circovirus	Avian-2	Anas platyrhynchos	Anas platyrhynchos
NC_025247	SwCV	Swan circovirus	Circovirus	Avian-2	Cygnus olor	Cygnus olor
NC_015399	BarbCV	Barbel circovirus	Circovirus	Fish-1	Barbus barbus	Barbus barbus
NC_025246	SgCV	Wels catfish circovirus	Circovirus	Fish-2	Siluris glanis	Siluris glanis
NC_001792	PCV-1	Porcine circovirus 1	Circovirus	Mammal-1	Sus scrofa	Sus scrofa
NC_005148	PCV-2	Porcine circovirus 2	Circovirus	Mammal-1	Sus scrofa	Sus scrofa
NC_020904	CfCV	Canine circovirus 1	Circovirus	Mammal-1	Canis familiaris	Canis familiaris
NC_023885	MiCV	Mink circovirus	Circovirus	Mammal-1	Neovison vison	Neovison vison
NC_028045	TbCV	Mexican free-tailed bat circovirus	Circovirus	Mammal-2	Tadarida brasiliensis	Tadarida brasiliensis
NC_031753	PCV-3	Porcine circovirus 3	Circovirus	Mammal-2	Sus scrofa	Sus scrofa
NC_026641	AHEaCV-14	Avon-Heatchote Estuary Associated Virus 14	CRESS	CRESS	Unknown	Metagenome
NC_025710	CV-5-LDMD-2013	Circoviridae 5-LDMD-2014	CRESS	CRESS	Unknown	Metagenome
NC_025716	CV-11-LDMD-2013	Circoviridae 11-LDMD-2014	CRESS	CRESS	Unknown	Metagenome
NC_025717	CV-13-LDMD-2013	Circoviridae 13-LDMD-2014	CRESS	CRESS	Unknown	Metagenome
NC_025720	CV-16-LDMD-2013	Circoviridae 16-LDMD-2014	CRESS	CRESS	Unknown	Metagenome
NC_026639	AHEaCV-13	Avon-Heatchote Estuary Associated Virus 13	CRESS	CRESS	Unknown	Metagenome
NC_026648	AHEaCV-21	Avon-Heatchote Estuary Associated Virus 21	CRESS	CRESS	Unknown	Metagenome
NC_027795	COACV	Calanoida sp. copepod associated circular virus	CRESS	CRESS	Unknown	Calanoida
NC_014930	NGchicken15	Cyclovirus NGchicken15/NGA/2009	Cyclovirus	Cyclovirus-1	Unknown	Gallus gallus
NC_034977	DuACyV-1	Duck associated cyclovirus 1 strain DuACyV-1/1 	Cyclovirus	Cyclovirus-1	Unknown	Anas platyrhynchos
NC_034547	BtCyV-GF-4c	Bat cyclovirus GF-4c putative Rep and putative Cap genes 	Cyclovirus	Cyclovirus-1	Unknown	Bat sp.
NC_025791	BtCyV-POAII	Bat circovirus POA/2012/II 	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025792	BtCyV-POAVI	Bat circovirus POA/2012/VI 	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025476	CyV-ZM36a	Cyclovirus ZM36a DNA 	Cyclovirus	Cyclovirus-1	Unknown	Crocidura hirta
NC_023866	DfCyV5	Dragonfly cyclovirus 5 isolate PR-6E-2010 	Cyclovirus	Cyclovirus-1	Unknown	Erythrodiplax umbrata
NC_024700	FlCyV	Feline cyclovirus 	Cyclovirus	Cyclovirus-1	Unknown	Felis catus
NC_021707	CyV-VN	Cyclovirus VN isolate hcf1 	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_032682	IE-CyV-IECSF08	Indian encephalitis associated cyclovirus isolate IECSF08 	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023874	HuCyV-GS140	Human associated cyclovirus 10 strain 7078A 	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_020206	FwCa-CyV-GS140	Florida woods cockroach-associated cyclovirus isolate GS140	Cyclovirus	Cyclovirus-1	Unknown	Eurycotis floridana
NC_021568	HuCyV-VS5700009	Human cyclovirus VS5700009 	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023869	DfCyV-2	Dragonfly cyclovirus 2 isolate FL1-NZ38-2010 	Cyclovirus	Cyclovirus-1	Unknown	Pantala flavescens
