sequenceID	locus_name	locus_numeric_id	record_id	organism	Species	Group	Class	Superorder	Order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	locus_structure	sequence_length
Anguilla_anguilla_136	ecv-circo.240-anguilla	240	1304	Anguilla_anguilla	Anguilla anguilla	Vertebrates	Actinopteri	Unclassified	Anguilliformes	Anguillidae	Anguilla	low_coverage	v1	GCA_000695075.1_Anguilla_anguilla_v1_09_nov_10_genomic.fna	AZBK01S029356.1	-	136	1005	Rep[Anguilla-anguilla-circovirus(-)]	870
Guentherus_altivela_4150	ecv-circo.200-actinopterygii-con	200	1958	Guentherus_altivela	Guentherus altivela	Vertebrates	Actinopteri	Ateleopodia	Ateleopodiformes	Ateleopodidae	Guentherus	low_coverage	ASM90031259v1	GCA_900312595.1_ASM90031259v1_genomic.fna	OMOX01035492.1	-	4150	4287	Rep[Dragonfly-cyclovirus-2(-)]	138
Rondeletia_loricata_1800	ecv-circo.200-actinopterygii-con	200	2138	Rondeletia_loricata	Rondeletia loricata	Vertebrates	Actinopteri	Unclassified	Beryciformes	Rondeletiidae	Rondeletia	low_coverage	ASM90030260v1	GCA_900302605.1_ASM90030260v1_genomic.fna	OMLI01034121.1	+	1800	2099	Rep[Barbel-circovirus(+)]	300
Micropterus_floridanus_2113	ecv-circo.200-actinopterygii-con	200	1775	Micropterus_floridanus	Micropterus floridanus	Vertebrates	Actinopteri	Unclassified	Centrarchiformes	Centrarchidae	Micropterus	low_coverage	ASM259238v1	GCA_002592385.1_ASM259238v1_genomic.fna	NRCI01230647.1	-	2113	2529	Rep[Silurus-glanis-circovirus(-)]	417
Astyanax_mexicanus_288522	ecv-circo.200-actinopterygii-con	200	1341	Astyanax_mexicanus	Astyanax mexicanus	Vertebrates	Actinopteri	Characiphysae	Characiformes	Characidae	Astyanax	complete	ensembl_79_AstMex102	Astyanax_mexicanus.AstMex102.dna.nonchromosomal.fa	KB872014.1	+	288522	289427	Rep[Barbel-circovirus(+)]	906
Astyanax_mexicanus_7856	ecv-circo.200-actinopterygii-con	200	2051	Astyanax_mexicanus	Astyanax mexicanus	Vertebrates	Actinopteri	Characiphysae	Characiformes	Characidae	Astyanax	complete	ensembl_79_AstMex102	Astyanax_mexicanus.AstMex102.dna.nonchromosomal.fa	KB873090.1	+	7856	8627	Rep[Mink-circovirus(+)]	772
Pygocentrus_nattereri_8728	ecv-circo.200-actinopterygii-con	200	2025	Pygocentrus_nattereri	Pygocentrus nattereri	Vertebrates	Actinopteri	Characiphysae	Characiformes	Serrasalmidae	Pygocentrus	low_coverage	1.0.2	GCA_001682695.1_Pygocentrus_nattereri-1.0.2_genomic.fna	KV576931.1	-	8728	8931	Rep[Mink-circovirus(-)]	204
Neolamprologus_brichardi_322085	ecv-circo.200-actinopterygii-con	200	2058	Neolamprologus_brichardi	Neolamprologus brichardi	Vertebrates	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Neolamprologus	low_coverage	NeoBri1.0	32507_ref_NeoBri1.0_chrUn.fa	gi|573877209|ref|NW_006272290.1|	+	322085	322345	Rep[Barbel-circovirus(+)]	261
Neolamprologus_brichardi_73087	ecv-circo.200-actinopterygii-con	200	2176	Neolamprologus_brichardi	Neolamprologus brichardi	Vertebrates	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Neolamprologus	low_coverage	NeoBri1.0	32507_ref_NeoBri1.0_chrUn.fa	gi|573881695|ref|NW_006272170.1|	+	73087	73341	Rep[Barbel-circovirus(+)]	255
Clupea_harengus_2192899	ecv-circo.200-actinopterygii-con	200	1816	Clupea_harengus	Clupea harengus	Vertebrates	Actinopteri	Unclassified	Clupeiformes	Clupeidae	Clupea	low_coverage	ncbi_7950_2015	7950_ref_ASM96633v1_chrUn.fa	gi|829735156|ref|NW_012220668.1|	+	2192899	2193469	Rep[Barbel-circovirus(+)]	571
Anabarilius_grahami_5630275	ecv-circo.200-actinopterygii-con	200	2422	Anabarilius_grahami	Anabarilius grahami	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Anabarilius	low_coverage	BGI_Agra_1.0	GCA_003731715.1_BGI_Agra_1.0_genomic.fna	RJVU01061675.1	-	5630275	5630635	Rep[Barbel-circovirus(-)]	361
Cirrhinus_molitorella_360	ecv-circo.200-actinopterygii-con	200	2269	Cirrhinus_molitorella	Cirrhinus molitorella	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cirrhinus	low_coverage	ASM402844v1	GCA_004028445.1_ASM402844v1_genomic.fna	SCHJ01112372.1	+	360	821	Rep[Barbel-circovirus(+)]	462
Cyprinus_carpio_34039	ecv-circo.200-actinopterygii-con	200	1295	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN591599.1	+	34039	34536	putative-capsid[Barbel-circovirus(+)]	498
Cyprinus_carpio_2608998	ecv-circo.200-actinopterygii-con	200	1386	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN590674.1	-	2608998	2609513	Rep[Barbel-circovirus(-)]	516
Cyprinus_carpio_51471	ecv-circo.200-actinopterygii-con	200	1514	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN590814.1	-	51471	52064	Rep[Carp-endogenous-circovirus(-)]	594
Cyprinus_carpio_10685	ecv-circo.200-actinopterygii-con	200	1625	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN592292.1	-	10685	11182	putative-capsid[Barbel-circovirus(-)]	498
Cyprinus_carpio_24223	ecv-circo.200-actinopterygii-con	200	1998	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN593839.1	+	24223	24738	Rep[Barbel-circovirus(+)]	516
Cyprinus_carpio_3415	ecv-circo.200-actinopterygii-con	200	2091	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN591634.1	-	3415	3645	Rep[Carp-endogenous-circovirus(-)]	231
Cyprinus_carpio_234653	ecv-circo.200-actinopterygii-con	200	2413	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN590934.1	-	234653	234883	Rep[Carp-endogenous-circovirus(-)]	231
Cyprinus_carpio_42923	ecv-circo.200-actinopterygii-con	200	2467	Cyprinus_carpio	Cyprinus carpio	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN591599.1	-	42923	49716	Rep[Carp-endogenous-circovirus(-)]-Rep[Carp-endogenous-circovirus(-)]	6794
Labeo_rohita_133473	ecv-circo.200-actinopterygii-con	200	1372	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01011140.1	-	133473	142138	Rep[Barbel-circovirus(+)]-Rep[Barbel-circovirus(-)]	8666
Labeo_rohita_54563	ecv-circo.200-actinopterygii-con	200	1427	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01004667.1	-	54563	54997	Rep[Barbel-circovirus(-)]	435
Labeo_rohita_118760	ecv-circo.200-actinopterygii-con	200	1552	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01011140.1	+	118760	119574	Rep[Carp-endogenous-circovirus(+)]	815
Labeo_rohita_553842	ecv-circo.200-actinopterygii-con	200	1773	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01012625.1	-	553842	558418	putative-capsid[Barbel-circovirus(+)]-Rep[Carp-endogenous-circovirus(-)]	4577
Labeo_rohita_495278	ecv-circo.200-actinopterygii-con	200	1834	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01013464.1	-	495278	499853	putative-capsid[Barbel-circovirus(+)]-Rep[Carp-endogenous-circovirus(-)]	4576
Labeo_rohita_182548	ecv-circo.200-actinopterygii-con	200	2150	Labeo_rohita	Labeo rohita	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01012996.1	-	182548	182982	Rep[Barbel-circovirus(-)]	435
Sinocyclocheilus_anshuiensis_50514	ecv-circo.206-sinocyclocheilus-con	206	1962	Sinocyclocheilus_anshuiensis	Sinocyclocheilus anshuiensis	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus	low_coverage	SAMN03320099	GCF_001515605.1_SAMN03320099.WGS_v1.1_genomic.fna	NW_015538004.1	+	50514	50675	Rep[Carp-endogenous-circovirus(+)]	162
Sinocyclocheilus_grahami_421416	ecv-circo.206-sinocyclocheilus-con	206	2014	Sinocyclocheilus_grahami	Sinocyclocheilus grahami	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus	low_coverage	v1.1	75366_ref_SAMN03320097.WGS_v1.1_chrUn.fa	gi|1019150738|ref|NW_015505956.1|	-	421416	421577	Rep[Carp-endogenous-circovirus(-)]	162
Sinocyclocheilus_grahami_37549	ecv-circo.206-sinocyclocheilus-con	206	2187	Sinocyclocheilus_grahami	Sinocyclocheilus grahami	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus	low_coverage	v1.1	75366_ref_SAMN03320097.WGS_v1.1_chrUn.fa	gi|1019138682|ref|NW_015507170.1|	-	37549	42533	Rep[Barbel-circovirus(+)]-Rep[Barbel-circovirus(-)]	4985
Sinocyclocheilus_rhinocerous_208908	ecv-circo.206-sinocyclocheilus-con	206	1808	Sinocyclocheilus_rhinocerous	Sinocyclocheilus rhinocerous	Vertebrates	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus	low_coverage	SAMN03320098_v1	GCF_001515625.1_SAMN03320098_v1.1_genomic.fna	NW_015666538.1	-	208908	209069	Rep[Carp-endogenous-circovirus(-)]	162
Kryptolebias_marmoratus_4748	ecv-circo.200-actinopterygii-con	200	1342	Kryptolebias_marmoratus	Kryptolebias marmoratus	Vertebrates	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias	low_coverage	v1	GCA_001649575.1_ASM164957v1_genomic.fna	LWHD01002073.1	+	4748	5716	Rep[Barbel-circovirus(+)]	969
Kryptolebias_marmoratus_6393	ecv-circo.200-actinopterygii-con	200	1801	Kryptolebias_marmoratus	Kryptolebias marmoratus	Vertebrates	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias	low_coverage	v1	GCA_001649575.1_ASM164957v1_genomic.fna	LWHD01000529.1	-	6393	7106	Rep[Barbel-circovirus(-)]	714
