sequenceID	name	full_name	family	genus	clade
ecv-circo.11-carnivore-con	REF_ECV_Carnivora	Endogenous circoviral element circo.11-carnivore consensus sequence	Circoviridae	Circovirus	
ecv-circo.5-serpentes-con	REF_ECV_Serpentes	Endogenous circoviral element circo.5-serpentes consensus sequence	Circoviridae	Circovirus	
ecv-circo.1-passeriformes-con	REF_ECV_Passeriformes	Endogenous circoviral element circo.1-passeriformes consensus sequence	Circoviridae	Circovirus	Avian-1
ecv-circo.2-psittaciformes-con	REF_ECV_Psittaciformes	Endogenous circoviral element circo.2-psittaciformes consensus sequence	Circoviridae	Circovirus	
ecv-circo.7-actinopterygii-con	REF_ECV_Actinopterygii	Endogenous circoviral element circo.7-actinopterygii consensus sequence	Circoviridae	Circovirus	
ecv-cyclo.1-varroa-con	REF_ECV_Varroa	Endogenous circoviral element cyclo.1-varroa consensus sequence	Circoviridae	Cyclovirus	
ecv-cress.1-eptatretus-con	REF_ECV_Eptatretus	Endogenous circoviral element cress.1-eptatretus consensus sequence	Circoviridae	CRESS	
ecv-cress.2-loxosceles-con	REF_ECV_Loxosceles	Endogenous circoviral element cress.2-loxosceles consensus sequence	Circoviridae	CRESS	
ecv-cress.3-modiolus-con	REF_ECV_Modiolus	Endogenous circoviral element cress.3-modiolus consensus sequence	Circoviridae	CRESS	
ecv-cress.5-neolamprologus-con	REF_ECV_Neolamprologus	Endogenous circoviral element cress.5-neolamprologus consensus sequence	Circoviridae	CRESS	
ecv-cress.6-parhyale-con	REF_ECV_Parhyale	Endogenous circoviral element cress.6-parhyale consensus sequence	Circoviridae	CRESS	
ecv-cress.7-salmo-con	REF_ECV_Salmo	Endogenous circoviral element cress.7-salmo consensus sequence	Circoviridae	CRESS	
ecv-cress.8-tropileilaps-con	REF_ECV_Tropileilaps	Endogenous circoviral element cress.8-tropileilaps consensus sequence	Circoviridae	CRESS	
