id	virus_name	full_name	virus_family	virus_genus	virus_clade	organism	Phylum	Class	Superorder	Order	Family	Genus	NumericID	scaffold	extract_start	extract_end	sequence_length	orientation	assigned_name	assigned_gene	subject_start	subject_end
Tropilaelaps-1	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	1	MNPL01000946.1	8023	8619	597	+	Silurus-glanis-circovirus	Rep	87	279
Tropilaelaps-2	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	2	MNPL01006962.1	2601	3320	720	+	Florida-woods-cockroach-associated-cyclovirus	Rep	6	210
Tropilaelaps-3	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	3	MNPL01011581.1	40445	40594	150	-	Zebra-finch-circovirus	Rep	203	252
Tropilaelaps-4	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	4	MNPL01014537.1	1846	2581	736	-	Dragonfly-cyclovirus-2	Rep	55	253
Tropilaelaps-5	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	5	MNPL01015210.1	3510	3962	453	-	Cyclovirus-VN	Rep	63	216
Tropilaelaps-6	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	6	MNPL01015526.1	6875	8046	1172	+	Human-cyclovirus	Rep	69	270
Tropilaelaps-7	ECV.Tropilaelaps	Tropilaelaps endogenous circoviral element	CRESS	CRESS	Unclassified	Tropilaelaps_mercedesae	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Laelapidae	Tropilaelaps	7	MNPL01025738.1	9580	9777	198	-	Human-cyclovirus	Rep	193	257
Metaseiulus-8	ECV.Metaseiulus	Metaseiulus endogenous circoviral element	CRESS	CRESS	Unclassified	Metaseiulus_occidentalis	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Phytoseiidae	Metaseiulus	8	gi|389419741|ref|NW_003803737.1|	5360	5965	606	+	Dragonfly-cyclovirus-2	Rep	120	314
Metaseiulus-9	ECV.Metaseiulus	Metaseiulus endogenous circoviral element	CRESS	CRESS	Unclassified	Galendromus_occidentalis	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Phytoseiidae	Metaseiulus	9	NW_003803737.1	5360	5968	609	+	Dragonfly-cyclovirus-2	Rep	120	314
Varroa-10	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	10	ADDG01011650.1	3383	3888	506	-	Silurus-glanis-circovirus	Rep	86	182
