sequenceID	numeric_id	host_group_taxlevel	host_group_name	reftype	name	full_name	family	genus	clade	host_group_common_name	num_copies	locus_id
ecv-circo.1-passeriformes-con	1	order	Passeriformes	Consensus	REF_ECV_Circo.1-Passeriformes	Endogenous circoviral element circo.1-passeriformes consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.2-psittaciformes-con	2	order	Psittaciformes	Consensus	REF_ECV_Circo.2-Psittaciformes	Endogenous circoviral element circo.2-psittaciformes consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.3-mus_caroli	3	species	Mus_caroli	Reference	REF_ECV_Circo.3-Mus_caroli	Endogenous circoviral element circo.3-mus_caroli reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.4-monodelphis_domestica	4	species	Monodelphis_domestica	Reference	REF_ECV_Circo.4-Monodelphis	Endogenous circoviral element circo.4-monodelphis domestica reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.5-serpentes-con	5	suborder	Serpentes	Consensus	REF_ECV_Circo.5-Serpentes	Endogenous circoviral element circo.5-serpentes consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.7-actinopterygii-con	7	subclass	Actinopterygii	Consensus	REF_ECV_Circo.7-Actinopterygii	Endogenous circoviral element circo.7-actinopterygii consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.11-carnivore-con	11	order	Carnivora	Consensus	REF_ECV_Circo.11- Carnivora	Endogenous circoviral element circo.11-carnivore consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.12-chrysochloris-con	12	species	Chrysochloris_asiatica	Consensus	REF_ECV_Circo-77.Chrysochloris	Endogenous circoviral element circo.12-chrysochloris consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.13-galeopterus-con	13	species	Galeopterus	Consensus	REF_ECV_Circo-13.Galeopterus	Endogenous circoviral element circo.13-galeopterus consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.14-tinamou-con	14	species	Tinamou	Consensus	REF_ECV_Circo-14.Tinamou	Endogenous circoviral element circo.14-tinamou consensus sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.15-gallirallus	15	species	Gallirallus	Consensus	REF_ECV_Circo-15.Gallirallus	Endogenous circoviral element circo.15-gallirallus reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.17-egretta	17	species	Egretta	Reference	REF_ECV_Circo-17.Egretta	Endogenous circoviral element circo.17.Egretta	Circoviridae	Circovirus	1	1	1	1
ecv-circo.18-picoides	18	species	Picoides	Reference	REF_ECV_Circo-18.Picoides	Endogenous circoviral element circo.18.Picoides	Circoviridae	Circovirus	1	1	1	1
ecv-circo.19-anura	19	clade	Anura	Consensus	REF_ECV_Circo-19.Anura	Endogenous circoviral element circo.19-Anura reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.20-anura	20	clade	Anura	Consensus	REF_ECV_Circo-20.Anura	Endogenous circoviral element circo.20-Anura reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.21-microcaecilia	21	species	Microcaecilia 	Consensus	REF_ECV_Circo-21.Microcaecilia	Endogenous circoviral element circo.21-Microcaecilia reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.22-testudines	22	clade	Testudines	Consensus	REF_ECV_Circo-23.Testudines	Endogenous circoviral element circo.21-Testiudines reference sequence	Circoviridae	Circovirus	1	1	1	1
ecv-circo.25-heterocephalus	25	species	Heterocephalus	Reference	REF_ECV_Circo-25.Picoides	Endogenous circoviral element circo.25.Picoides	Circoviridae	Circovirus	1	1	1	1
ecv-circo.26-manis	26	species	Manis	Consensus	REF_ECV_Circo-26.Manis	Endogenous circoviral element circo.26.Manis	Circoviridae	Circovirus	1	1	1	1
ecv-circo.27-choloepus	27	species	Choloepus	Consensus	REF_ECV_Circo-27.Choloepus	Endogenous circoviral element circo.27.Choloepus	Circoviridae	Circovirus	1	1	1	1
ecv-circo.28-monodelphis_domestica	28	species	Monodelphis	Consensus	REF_ECV_Circo-28.Monodelphis	Endogenous circoviral element circo.28.Monodelphis	Circoviridae	Circovirus	1	1	1	1
ecv-circo.29-dasyuridae	29	clade	Dasyuridae	Consensus	REF_ECV_Circo-29.Dasyuridae	Endogenous circoviral element circo.29.Dasyuridae	Circoviridae	Circovirus	1	1	1	1
ecv-circo.30-phascolarctos	30	species	Phascolarctos 	Consensus	REF_ECV_Circo-30.Picoides	Endogenous circoviral element circo.30.Picoides	Circoviridae	Circovirus	1	1	1	1
ecv-circo.40-anguilla	40	species	Anguilla	Consensus	REF_ECV_Circo-40.Gallirallus	Endogenous circoviral element circo.40-gallirallus reference sequence	Circoviridae	Circovirus	1	1	1	1
