sequenceID	reftype	name	full_name	family	genus	clade	numeric_id	host_group_taxlevel	host_group_name	host_group_common_name	num_copies	locus_id
ecv-circo.1-passeriformes-con	Consensus	REF_ECV_Passeriformes	Endogenous circoviral element circo.1-passeriformes consensus sequence	Circoviridae	Circovirus	Avian-1	1	1	1	1	1	1
ecv-circo.2-psittaciformes-con	Consensus	REF_ECV_Psittaciformes	Endogenous circoviral element circo.2-psittaciformes consensus sequence	Circoviridae	Circovirus		2	1	1	1	1	1
ecv-circo.3-mus_caroli	Reference	REF_ECV_Mus	Endogenous circoviral element circo.3-mus_caroli reference sequence	Circoviridae	Circovirus		3	1	1	1	1	1
ecv-circo.4-monodelphis_domestica	Reference	REF_ECV_Monodelphis	Endogenous circoviral element circo.4-monodelphis domestica reference sequence	Circoviridae	Circovirus		4	1	1	1	1	1
ecv-circo.5-serpentes-con	Consensus	REF_ECV_Serpentes	Endogenous circoviral element circo.5-serpentes consensus sequence	Circoviridae	Circovirus		5	1	1	1	1	1
ecv-circo.6-cyprinus-con	Consensus	REF_ECV_Cyprinus	Endogenous circoviral element circo.6-cyprinus consensus sequence	Circoviridae	Circovirus		6	1	1	1	1	1
ecv-circo.7-actinopterygii-con	Consensus	REF_ECV_Actinopterygii	Endogenous circoviral element circo.7-actinopterygii consensus sequence	Circoviridae	Circovirus		7	1	1	1	1	1
ecv-circo.8-kryptolebias-con	Consensus	REF_ECV_Kryptolebias	Endogenous circoviral element circo.8-kryptolebias consensus sequence	Circoviridae	Circovirus		8	1	1	1	1	1
ecv-circo.11-carnivore-con	Consensus	REF_ECV_Carnivora	Endogenous circoviral element circo.11-carnivore consensus sequence	Circoviridae	Circovirus		11	1	1	1	1	1
ecv-circo.12-chrysochloris-con	Consensus	REF_ECV_Chrysochloris	Endogenous circoviral element circo.12-chrysochloris consensus sequence	Circoviridae	Circovirus		12	1	1	1	1	1
ecv-circo.13-galeopterus-con	Consensus	REF_ECV_Galeopterus	Endogenous circoviral element circo.13-galeopterus consensus sequence	Circoviridae	Circovirus		13	1	1	1	1	1
ecv-circo.14-tinamou-con	Consensus	REF_ECV_Tinamou	Endogenous circoviral element circo.14-tinamou consensus sequence	Circoviridae	Circovirus		14	1	1	1	1	1
ecv-cress.1-eptatretus-con	Consensus	REF_ECV_Eptatretus	Endogenous circoviral element cress.1-eptatretus consensus sequence	Circoviridae	CRESS		1	1	1	1	1	1
ecv-cress.2-loxosceles-con	Consensus	REF_ECV_Loxosceles	Endogenous circoviral element cress.2-loxosceles consensus sequence	Circoviridae	CRESS		2	1	1	1	1	1
ecv-cress.3-modiolus-con	Consensus	REF_ECV_Modiolus	Endogenous circoviral element cress.3-modiolus consensus sequence	Circoviridae	CRESS		3	1	1	1	1	1
ecv-cress.4-mytilus-con	Consensus	REF_ECV_Mytilus	Endogenous circoviral element cress.4-mytilus consensus sequence	Circoviridae	CRESS		4	1	1	1	1	1
ecv-cress.5-neolamprologus-con	Consensus	REF_ECV_Neolamprologus	Endogenous circoviral element cress.5-neolamprologus consensus sequence	Circoviridae	CRESS		5	1	1	1	1	1
ecv-cress.6-parhyale-con	Consensus	REF_ECV_Parhyale	Endogenous circoviral element cress.6-parhyale consensus sequence	Circoviridae	CRESS		6	1	1	1	1	1
ecv-cress.7-salmo-con	Consensus	REF_ECV_Salmo	Endogenous circoviral element cress.7-salmo consensus sequence	Circoviridae	CRESS		7	1	1	1	1	1
ecv-cress.8-tropileilaps-con	Consensus	REF_ECV_Tropileilaps	Endogenous circoviral element cress.8-tropileilaps consensus sequence	Circoviridae	CRESS		8	1	1	1	1	1
ecv-cyclo.1-varroa-con	Consensus	REF_ECV_Varroa	Endogenous circoviral element cyclo.1-varroa consensus sequence	Circoviridae	Cyclovirus		1	1	1	1	1	1
ecv-cress.9-conus-con	Consensus	REF_ECV_Conus	Endogenous circoviral element cress.9-conus consensus sequence	Circoviridae	CRESS		9	1	1	1	1	1
ecv-cress.10-taenia-con	Consensus	REF_ECV_Taenia	Endogenous circoviral element cress.10-taenia consensus sequence	Circoviridae	CRESS		10	1	1	1	1	1
