id	isolate	country	host_sci_name	collection_year
AB182568	YCC-IN1P	-	-	-
AB182569	YCC-IN2P	-	-	-
AB182570	RRP-JP11P	-	-	-
AB182571	RRP-JP12P	-	-	-
AB182572	BTP-SA11P	-	-	-
AB182573	RL-JP1P	-	-	-
AB277726	AGP-SA1P-1	Japan	Psittacus erithacus erithacus	-
AB277727	AGP-SA1P-2	Japan	Psittacus erithacus erithacus	-
AB277728	AGP-SA1P-3	Japan	Psittacus erithacus erithacus	-
AB277729	AGP-SA1P-4	Japan	Psittacus erithacus erithacus	-
AB277730	AGP-SA1P-5	Japan	Psittacus erithacus erithacus	-
AB277731	AGP-SA2P	Japan	Psittacus erithacus erithacus	-
AB277732	TGP-SA1P	Japan	Psittacus erithacus timneh	-
AB277733	EC-SG1P	Japan	Cacatua galerita eleonora	-
AB277734	WC-SG1P	Japan	Cacatua alba	-
AB277735	WC-IN1P	Japan	Cacatua alba	-
AB277736	YCC-IN3P	Japan	Cacatua sulphurea	-
AB277737	YCC-IN4P	Japan	Cacatua sulphurea	-
AB277738	BWP-SA1P	Japan	Pionus chalcopterus	-
AB277739	BP-SA1P	Japan	Poicephalus meyeri	-
AB277740	BHP-SA1P	Japan	Poicephalus cryptoxanthus	-
AB277741	RBP-SA1P	Japan	Poicephalus rufiventris	-
AB277742	SP-SA1P	Japan	Poicephalus senegalus	-
AB277743	AP-UN1P	Japan	Psittacula eupatria	-
AB277744	EP-JP1P	Japan	Eclectus roratus	-
AB277745	DP-SA1P	Japan	Psittacula derbiana	-
AB277746	MU-JP1P	Japan	Melopsittacus undulatus	-
AB277747	MU-JP2P	Japan	Melopsittacus undulatus	-
AB514568	-	Japan:Fukuoka	-	-
AF071878	-	-	-	-
AF080560	-	-	Cacatua galerita	-
AF311297	-	Australia: Southern Australia	Cacatua tenuirostris	-
AF311298	-	Australia: Western Australia	Eolophus roseicapillus	-
AF311300	-	Australia: Western Australia	Cacatua leabeateri	-
