GenBank accession no. 	Virus/putative virus name 	Acronym 	Country 	Isolation source 	Common name 	Sample type 
GQ365709 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	China 	Sclerotinia sclerotiorum 	White mold 	Mycelial samples 
KF268025 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	New Zealand 	River Sediments 	- 	River Sediments 
KF268026 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	New Zealand 	River Sediments 	- 	River Sediments 
KF268027 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	New Zealand 	River Sediments 	- 	River Sediments 
KF268028 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	New Zealand 	River Sediments 	- 	River Sediments 
KM598382 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	USA 	Ischnura ramburii 	Damselfly 	Abdomen 
KM598383 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	USA 	Erythemis simplicicollis 	Dragonfly 	Abdomen 
KM598384 	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1 	SsHADV-1 	USA 	Pantala hymenaea 	Dragonfly 	Abdomen 
HQ335086 	Mosquito VEM virus SDBVL G 	MVemV 	USA 	Culex erythrothorax 	Mosquito 	Mosquito samples 
JN704610 	Meles meles fecal virus 	MmFV 	Netherlands 	Meles meles 	European badger 	Rectal swab 
JQ412057 	Cassava associated circular DNA virus 	CasCV 	Ghana 	Manihot esculenta 	Cassava 	Leaf 
JX185428 	Dragonfly-associated circular virus 3 	DfasCV-3 	Tonga 	Pantala flavescens 	Dragonfly 	Abdomen 
JX185429 	Dragonfly-associated circular virus 2 	DfasCV-2 	USA 	Erythemis simplicicollis 	Dragonfly 	Abdomen 
JX185430 	Dragonfly-associated circular virus 1 	DfasCV-1 	USA 	Miathyria marcella 	Dragonfly 	Abdomen 
KF371630 	Faecal-associated gemycircularvirus-12 	FaGmV-12 	New Zealand 	Struthio camelus 	Ostrich 	Faeces 
KF371631 	Faecal-associated gemycircularvirus-11 	FaGmV-11 	New Zealand 	Oryctolagus cuniculus 	Rabbit 	Faeces 
KF371632 	Faecal-associated gemycircularvirus-10 	FaGmV-10 	New Zealand 	Sturnus vulgaris 	European starling 	Faeces 
KF371633 	Faecal-associated gemycircularvirus-9 	FaGmV-9 	New Zealand 	Turdus merula 	Blackbird 	Faeces 
KF371634 	Faecal-associated gemycircularvirus-8 	FaGmV-8 	New Zealand 	Petroica traversi 	Chatham Island black robin 	Faeces 
KF371635 	Faecal-associated gemycircularvirus-7 	FaGmV-7 	New Zealand 	Anas platyrhynchos 	Mallard duck 	Faeces 
KF371636 	Faecal-associated gemycircularvirus-6 	FaGmV-6 	New Zealand 	Gerygone albofrontata 	Chatham Island warbler 	Faeces 
KF371637 	Faecal-associated gemycircularvirus-5 	FaGmV-5 	New Zealand 	Gerygone albofrontata 	Chatham Island warbler 	Faeces 
KF371638 	Faecal-associated gemycircularvirus-4 	FaGmV-4 	New Zealand 	Arctocephalus forsteri 	New Zealand fur seal 	Faeces 
KF371639 	Faecal-associated gemycircularvirus-3 	FaGmV-3 	New Zealand 	Gerygone albofrontata 	Chatham Island warbler 	Faeces 
KF371640 	Faecal-associated gemycircularvirus-2 	FaGmV-2 	New Zealand 	Sus scrofa 	Domestic pig 	Faeces 
KF371641 	Faecal-associated gemycircularvirus-1c 	FaGmV-1c 	New Zealand 	Turdus merula 	Blackbird 	Faeces 
KF371642 	Faecal-associated gemycircularvirus-1b 	FaGmV-1b 	New Zealand 	Turdus merula 	Blackbird 	Faeces 
KF371643 	Faecal-associated gemycircularvirus-1a 	FaGmV-1a 	New Zealand 	Ovis aries 	Sheep 	Faeces 
KF413620 	Hypericum japonicum associated circular DNA virus 	HJasCV 	Viet Nam 	Hypericum japonicum 	Hypericum 	Leaf 
KJ413144 	Human genital-associated circular DNA virus-1 	HuGaGmC349 	South Africa 	Homo sapiens 	Human 	Cervical sample 
KJ547634 	Sewage-associated gemycircularvirus-4 	SaGmV-4 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547635 	Sewage-associated gemycircularvirus-5 	SaGmV-5 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547636 	Sewage-associated gemycircularvirus-6 	SaGmV-6 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547637 	Sewage-associated gemycircularvirus-7a 	SaGmV-7a 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547638 	Sewage-associated gemycircularvirus-8 	SaGmV-8 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547639 	Sewage-associated gemycircularvirus-9 	SaGmV-9 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547640 	Sewage-associated gemycircularvirus-7b 	SaGmV-7b 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547641 	Sewage-associated gemycircularvirus-11 	SaGmV-11 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547642 	Sewage-associated gemycircularvirus-2 	SaGmV-2 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547643 	Sewage-associated gemycircularvirus-3 	SaGmV-3 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547644 	Sewage-associated gemycircularvirus-10a 	SaGmV-10a 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ547645 	Sewage-associated gemycircularvirus-10b 	SaGmV-10b 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KJ641719 	Bat gemycircularvirus 23 GD2012 	BtMf-CV-23 GD2012 	China 	Miniopterus fuliginosus 	Bat 	Pharyngeal & rectal swabs 
KJ641726 	Bat gemycircularvirus 8 NM2013 	BtRf-CV-8 NM2013 	China 	Rhinolophus ferrumequinum 	Bat 	Pharyngeal & rectal swabs 
KJ641737 	Bat gemycircularvirus Tibet2013 	BtRh-CV-6 Tibet2013 	China 	Rhinolophus hipposideros 	Bat 	Pharyngeal & rectal swabs 
KJ938717 	Caribou feces-associated gemycircularvirus 	FaGmV-13 	Canada 	Rangifer tarandus 	Caribou 	Faeces 
KM510192 	Bromus-associated circular DNA virus 3 	BasCV-3 	New Zealand 	Bromus hordeaceus 	Soft brome/Bull grass 	Leaf 
KM598385 	Odonata associated gemycircularvirus-1 	OdaGmV-1 	USA 	Ischnura posita 	Damselfly 	Abdomen 
KM598386 	Odonata associated gemycircularvirus-1 	OdaGmV-1 	USA 	Pantala hymenaea 	Dragonfly 	Abdomen 
KM598387 	Odonata associated gemycircularvirus-2 	OdaGmV-2 	USA 	Aeshna multicolor 	Dragonfly 	Abdomen 
KM598388 	Odonata associated gemycircularvirus-2 	OdaGmV-2 	USA 	Libellula saturata 	Dragonfly 	Abdomen 
KM821747 	Sewage-associated gemycircularvirus-1 	SaGmV-1 	New Zealand 	Sewage oxidation pond 	- 	Sewage 
KP133075 	Gemycircularvirus SL1 	GemyCV-SL1 	Sri Lanka 	Homo sapiens 	Human 	Cerebrospinal fluid 
KP133076 	Gemycircularvirus SL2 	GemyCV-SL2 	Sri Lanka 	Homo sapiens 	Human 	Cerebrospinal fluid 
KP133077 	Gemycircularvirus SL3 	GemyCV-SL3 	Sri Lanka 	Homo sapiens 	Human 	Cerebrospinal fluid 
KP133078 	Gemycircularvirus BZ1 	GemyCV-BZ1 	Brazil 	Homo sapiens 	Human 	Faeces 
KP133079 	Gemycircularvirus BZ2 	GemyCV-BZ2 	Brazil 	Homo sapiens 	Human 	Faeces 
KP133080 	Gemycircularvirus NP 	GemyCV-NP 	Nepal 	Untreated sewage 	- 	Sewage 
KP263543 	Badger faeces-associated gemycircularvirus 	BafaGM588 	Portugal 	Meles meles 	European badger 	Faeces 
KP263544 	Mongoose feces-associated gemycircularvirus a 	MoFaGmV181a 	Portugal 	Herpestes ichneumon 	Egyptian mongoose 	Faeces 
KP263545 	Mongoose feces-associated gemycircularvirus b 	MoFaGmV160b 	Portugal 	Herpestes ichneumon 	Egyptian mongoose 	Faeces 
KP263546 	Mongoose feces-associated gemycircularvirus c 	MoFaGmV541c 	Portugal 	Herpestes ichneumon 	Egyptian mongoose 	Faeces 
KP263547 	Mongoose feces-associated gemycircularvirus d 	MoFaGmV478d 	Portugal 	Herpestes ichneumon 	Egyptian mongoose 	Faeces 
KP987887 	Gemycircularvirus C1c 	C1c 	France 	Homo sapiens 	Human 	Plasma 
KR912221 	Gemycircularvirus gemy-ch-rat1 	Gemy-ch-rat1 	China 	Rattus norvegicus 	Rat 	Blood 
KT253577 	Poaceae associated gemycircularvirus-1 	PaGmV-1 	Tonga 	Brachiaria deflexa 	Signalgrass 	Leaf 
KT253578 	Poaceae associated gemycircularvirus-1 	PaGmV-1 	Tonga 	Brachiaria deflexa 	Signalgrass 	Leaf 
KT253579 	Poaceae associated gemycircularvirus-1 	PaGmV-1 	Tonga 	Saccharum hybrid 	Sugarcane 	Leaf 
KT309029 	Poecile atricapillus GI tract-associated gemycircularvirus 	Gitract 	USA 	Poecile atricapillus 	Black-capped chickadee 	Buccal and cloacal swab 
KT598248 	Soybean leaf-associated gemycircularvirus 1 	SlaGemV1 	USA 	Glycine max 	Soybean 	Leaf 
KT732790 	Pacific flying fox faeces associated gemycircularvirus-1 	PfffaGmV-1 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732791 	Pacific flying fox faeces associated gemycircularvirus-1 	PfffaGmV-1 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732792 	Pacific flying fox faeces associated gemycircularvirus-2 	PfffaGmV-2 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732793 	Pacific flying fox faeces associated gemycircularvirus-2 	PfffaGmV-2 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732794 	Pacific flying fox faeces associated gemycircularvirus-3 	PfffaGmV-3 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732795 	Pacific flying fox faeces associated gemycircularvirus-4 	PfffaGmV-4 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732796 	Pacific flying fox faeces associated gemycircularvirus-4 	PfffaGmV-4 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732797 	Pacific flying fox faeces associated gemycircularvirus-5 	PfffaGmV-5 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
