sequenceID	name	full_name	family	genus	clade	host range	isolation_source
NC_001944	BFDV	Beak and feather disease virus	Circoviridae	Circovirus	Avian-1	Aves	Psittaciformes
NC_002361	CoCV	Columbid circovirus	Circoviridae	Circovirus	Avian-1	Columba livia	Columba livia
NC_008033	StCV	Starling circovirus	Circoviridae	Circovirus	Avian-1	Sturnus vulgaris	Sturnus vulgaris
NC_003410	CaCV	Canary circovirus	Circoviridae	Circovirus	Avian-1	Serinus canaria	Serinus canaria
NC_008033	SvCV	Starling circovirus	Circoviridae	Circovirus	Avian-1	Sturnus vulgaris	Sturnus vulgaris
NC_008375	RaCV	Raven circovirus	Circoviridae	Circovirus	Avian-1	Corvus coronoides	Corvus coronoides
NC_008521	GuCV	Gull circovirus	Circoviridae	Circovirus	Avian-1	Larus argentatus	Larus argentatus
NC_008522	FiCV	Finch circovirus	Circoviridae	Circovirus	Avian-1	Chloebia gouldiae	Chloebia gouldiae
NC_026945	ZfCV	Zebra finch circovirus	Circoviridae	Circovirus	Avian-1	Taeniopygia guttata	Taeniopygia guttata
NC_007220	DuCV	Duck circovirus	Circoviridae	Circovirus	Avian-2	Anas platyrhynchos	Anas platyrhynchos
NC_025247	SwCV	Swan circovirus	Circoviridae	Circovirus	Avian-2	Cygnus olor	Cygnus olor
NC_015399	BarbCV	Barbel circovirus	Circoviridae	Circovirus	Fish-1	Barbus barbus	Barbus barbus
NC_025246	SgCV	Wels catfish circovirus	Circoviridae	Circovirus	Fish-2	Siluris glanis	Siluris glanis
NC_001792	PCV-1	Porcine circovirus 1	Circoviridae	Circovirus	Mammal-1	Sus scrofa	Sus scrofa
NC_005148	PCV-2	Porcine circovirus 2	Circoviridae	Circovirus	Mammal-1	Sus scrofa	Sus scrofa
NC_020904	CfCV	Canine circovirus 1	Circoviridae	Circovirus	Mammal-1	Canis familiaris	Canis familiaris
NC_023885	MiCV	Mink circovirus	Circoviridae	Circovirus	Mammal-1	Neovison vison	Neovison vison
NC_028045	TbCV	Mexican free-tailed bat circovirus	Circoviridae	Circovirus	Mammal-2	Tadarida brasiliensis	Tadarida brasiliensis
NC_031753	PCV-3	Porcine circovirus 3	Circoviridae	Circovirus	Mammal-2	Sus scrofa	Sus scrofa
KJ641714	BtRp-CV-14	Bat circovirus isolate BtRp-CV-14/GD2012	Circoviridae	Circovirus		Unknown	Rhinolophus pusillus
NC_014930	NGchicken15	Cyclovirus NGchicken15/NGA/2009	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Gallus gallus
NC_034977	DuACyV-1	Duck associated cyclovirus 1 strain DuACyV-1/1 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Anas platyrhynchos
