sequenceID	name	Genus	referenceName	featureName	startNT	endNT
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	whole_genome	1	1790
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	Rep	208	867
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	Cap	1005	1703
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_MASTER_CRESS2_Po-41	whole_genome	1	2904
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_MASTER_CRESS2_Po-41	Rep	606	1583
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_MASTER_CRESS2_Po-41	gp2	1741	2313
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_MASTER_CRESS2_Po-41	gp3	2329	2904
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	whole_genome	1	1773
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	Rep	1	819
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	Cap	827	1498
