sequenceID	numeric_id	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	host_class	host_group_taxlevel	host_group_name	reftype	name	full_name	family	genus	clade	host_group_common_name	num_copies	locus_id	notes
ecv-circo.150-microcaecilia	150					amphibia	species	Microcaecilia 	Consensus	ecv-circo.150-microcaecilia	ecv-circo.150-microcaecilia	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.151-anura	151					amphibia	clade	Anura	Consensus	ecv-circo.151-anura	ecv-circo.151-anura	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.1-passeriformes	1					aves	order	Passeriformes	Consensus	ecv-circo.1-passeriformes	ecv-circo.1-passeriformes	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.2-psittaciformes	2					aves	order	Psittaciformes	Consensus	ecv-circo.2-psittaciformes	ecv-circo.2-psittaciformes	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.4-tinamou	4					aves	species	Tinamou	Consensus	ecv-circo.4-tinamou	ecv-circo.4-tinamou	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.5-gallirallus	5					aves	species	Gallirallus	Consensus	ecv-circo.5-gallirallus	ecv-circo.5-gallirallus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.7-egretta	7					aves	species	Egretta	Reference	ecv-circo.7-egretta	ecv-circo.7-egretta	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.8-picoides	8					aves	species	Picoides	Reference	ecv-circo.8-picoides	ecv-circo.8-picoides	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.51-carnivore	51					boreoeutheria	order	Carnivora	Consensus	ecv-circo.51-carnivore	ecv-circo.51-carnivore	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.52-chrysochloris	52					boreoeutheria	species	Chrysochloris_asiatica	Consensus	ecv-circo.52-chrysochloris	ecv-circo.52-chrysochloris	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.54-sanguinus	54					boreoeutheria	species	Sanguinus imperator	Consensus	ecv-circo.54-sanguinus	ecv-circo.54-sanguinus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.56-manis	56					boreoeutheria	genus	Manis	Consensus	ecv-circo.56-manis	ecv-circo.56-manis	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.57-galeopterus	57					boreoeutheria	species	Galeopterus	Consensus	ecv-circo.57-galeopterus	ecv-circo.57-galeopterus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.58-crocidura	58					boreoeutheria	species	Crocidura	Consensus	ecv-circo.58-crocidura	ecv-circo.58-crocidura	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.59-choloepus	59					boreoeutheria	species	Choloepus	Consensus	ecv-circo.59-choloepus	ecv-circo.59-choloepus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.62-heterocephalus	62					boreoeutheria	species	Heterocephalus	Consensus	ecv-circo.62-Heterocephalus	ecv-circo.62-Heterocephalus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.64-rhizomys	64					boreoeutheria	species	Rhizomys_pruinosus	Consensus	ecv-circo.64-rhizomys	ecv-circo.64-rhizomys	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.53-mus_caroli	53					boreoeutheria	species	Mus_caroli	Reference	ecv-circo.53-mus_caroli	ecv-circo.53-mus_caroli	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.55-heterocephalus	55					boreoeutheria	species	Heterocephalus	Reference	ecv-circo.55-heterocephalus	ecv-circo.55-heterocephalus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.60-microgale	60					boreoeutheria	species	Microgale talacazi	Reference	ecv-circo.60-microgale	ecv-circo.60-microgale	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.61-micropterus	61					boreoeutheria	species	Micropterus	Reference	ecv-circo.61-micropterus	ecv-circo.61-micropterus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.63-pedetes	63					boreoeutheria	species	Pedetes	Reference	ecv-circo.63-Pedetes	ecv-circo.63-Pedetes	Circoviridae	Circovirus	1	1	1	1	
