sequenceID	locus_name	locus_numeric_id	stem.duplicate_id	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length
circo.1-Sporophila_hypoxantha	circo.1-passeriformes-con_translated	1	circo.1.	Sporophila_hypoxantha	Aves	Neognathae	Passeriformes	Thraupidae	Sporophila	Sporophila_hypoxantha	low_coverage	SpoHypox2.0	GCA_002167245.1_SpoHypox2.0_genomic.fna	NDFG01001769.1	-	1785598	1786372	71	264	182	775	209	177	61.244	2.08	54	8	0	775
circo.1-Junco_hyemalis	circo.1-passeriformes-con_translated	1	circo.1.	Junco_hyemalis	Aves	Neognathae	Passeriformes	Passerellidae	Junco	Junco_hyemalis	low_coverage	ASM382977v1	GCA_003829775.1_ASM382977v1_genomic.fna	QZWM01000963.1	+	6016511	6017059	12	196	1	549	196	181	62.245	5.36	57	6	0	549
circo.1-Geospiza_fortis	circo.1-passeriformes-con_translated	1	circo.1.	Geospiza_fortis	Aves	Neognathae	Passeriformes	Thraupidae	Geospiza	Geospiza_fortis	low_coverage	goldenpath_geoFor1	geoFor1.fa_1.fa	JH739928	+	4240020	4240880	196	266	562	774	73	126	89.041	5.57	89	3	0	861
circo.1-Setophaga_coronata	circo.1-passeriformes-con_translated	1	circo.1.	Setophaga_coronata	Aves	Neognathae	Passeriformes	Parulidae	Setophaga	Setophaga_coronata	low_coverage	mywagenomev1.1	GCA_001746935.1_mywagenomev1.1_genomic.fna	MDLI01000088.1	+	2154634	2155395	53	263	37	675	238	215	57.563	2.46	69	11	0	762
circo.1-Hemignathus_virens	circo.1-passeriformes-con_translated	1	circo.1.	Hemignathus_virens	Aves	Neognathae	Passeriformes	Fringillidae	Hemignathus	Hemignathus_virens	low_coverage	ASM328649v1	GCA_003286495.1_ASM328649v1_genomic.fna	LTAT01000001.1	+	104507859	104508419	79	258	16	558	182	201	78.022	7.15	65	2	0	561
circo.1-Zonotrichia_albicollis	circo.1-passeriformes-con_translated	1	circo.1.	Zonotrichia_albicollis	Aves	Neognathae	Passeriformes	Passerellidae	Zonotrichia	Zonotrichia_albicollis	low_coverage	1.0.1	44394_ref_Zonotrichia_albicollis-1.0.1_chrUn.fa	gi|538541907|ref|NW_005081687.1|	+	441773	442723	2	263	1	801	278	310	66.547	1.57	105	9	0	951
circo.102.1-Pelusios_castaneus	circo.102-testudines-con_translated	102	circo.102.1	Pelusios_castaneus	Reptiles	Unclassified	Testudines	Pelomedusidae	Pelusios	Pelusios_castaneus	low_coverage	1	GCA_007922175.1_Pelusios_castaneus-1.0_genomic.fna	ML685837.1	+	3997941	3998357	66	207	1	417	143	238	90.909	1.86	81	5	0	417
circo.102.1-Podocnemis_expansa	circo.102-testudines-con_translated	102	circo.102.1	Podocnemis_expansa	Reptiles	Unclassified	Testudines	Podocnemididae	Podocnemis	Podocnemis_expansa	low_coverage	1	GCA_007922195.1_Podocnemis_expansa-1.0_genomic.fna	ML681998.1	+	26226238	26226474	94	171	1	234	79	112	69.62	1.11	32	2	0	237
circo.102.2-Podocnemis_expansa	circo.102-testudines-con_translated	102	circo.102.2	Podocnemis_expansa	Reptiles	Unclassified	Testudines	Podocnemididae	Podocnemis	Podocnemis_expansa	low_coverage	1	GCA_007922195.1_Podocnemis_expansa-1.0_genomic.fna	ML682037.1	+	4546599	4546820	105	178	1	222	75	118	78.667	3.08	35	2	0	222
circo.102.1-Pelusios_castaneus	circo.102-testudines-con_translated	102	circo.102.1	Pelusios_castaneus	Reptiles	Unclassified	Testudines	Pelomedusidae	Pelusios	Pelusios_castaneus	low_coverage	1	GCA_007922175.1_Pelusios_castaneus-1.0_genomic.fna	ML685866.1	-	234414	235046	1	220	1	633	220	321	83.636	7.29	113	9	0	633
