taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Acanthochromis_polyacanthus_1033535	Acanthochromis_polyacanthus_1033535	Acanthochromis_polyacanthus_1033535	Circovirus	MVNR01000067.1	Acanthochromis_polyacanthus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Acanthochromis_polyacanthus_120302	Acanthochromis_polyacanthus_120302	Acanthochromis_polyacanthus_120302	Circovirus	MVNR01001830.1	Acanthochromis_polyacanthus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Acanthochromis_polyacanthus_166050	Acanthochromis_polyacanthus_166050	Acanthochromis_polyacanthus_166050	Circovirus	MVNR01000194.1	Acanthochromis_polyacanthus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Acanthochromis_polyacanthus_900	Acanthochromis_polyacanthus_900	Acanthochromis_polyacanthus_900	Circovirus	MVNR01003690.1	Acanthochromis_polyacanthus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Acanthochromis_polyacanthus_97321	Acanthochromis_polyacanthus_97321	Acanthochromis_polyacanthus_97321	Circovirus	MVNR01002075.1	Acanthochromis_polyacanthus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_frenatus_345589	Amphiprion_frenatus_345589	Amphiprion_frenatus_345589	Circovirus	NW_019372937.1	Amphiprion_frenatus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_frenatus_3657	Amphiprion_frenatus_3657	Amphiprion_frenatus_3657	Circovirus	NW_019373480.1	Amphiprion_frenatus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_frenatus_7867	Amphiprion_frenatus_7867	Amphiprion_frenatus_7867	Circovirus	NW_019371920.1	Amphiprion_frenatus	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_ocellaris_345589	Amphiprion_ocellaris_345589	Amphiprion_ocellaris_345589	Circovirus	NW_019372937.1	Amphiprion_ocellaris	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_ocellaris_3657	Amphiprion_ocellaris_3657	Amphiprion_ocellaris_3657	Circovirus	NW_019373480.1	Amphiprion_ocellaris	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_ocellaris_7867	Amphiprion_ocellaris_7867	Amphiprion_ocellaris_7867	Circovirus	NW_019371920.1	Amphiprion_ocellaris	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_percula_21027960	Amphiprion_percula_21027960	Amphiprion_percula_21027960	Circovirus	CM009716.1	Amphiprion_percula	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_percula_31227260	Amphiprion_percula_31227260	Amphiprion_percula_31227260	Circovirus	CM009711.1	Amphiprion_percula	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Amphiprion_percula_8106303	Amphiprion_percula_8106303	Amphiprion_percula_8106303	Circovirus	CM009720.1	Amphiprion_percula	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Anabarilius_grahami_5630275	Anabarilius_grahami_5630275	Anabarilius_grahami_5630275	Circovirus	RJVU01061675.1	Anabarilius_grahami	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Astyanax_mexicanus_288522	Astyanax_mexicanus_288522	Astyanax_mexicanus_288522	Circovirus	KB872014.1	Astyanax_mexicanus	-	Characidae	Characiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Astyanax_mexicanus_7856	Astyanax_mexicanus_7856	Astyanax_mexicanus_7856	Circovirus	KB873090.1	Astyanax_mexicanus	-	Characidae	Characiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Bregmaceros_cantori_4746	Bregmaceros_cantori_4746	Bregmaceros_cantori_4746	Circovirus	OMKY01210332.1	Bregmaceros_cantori	-	Bregmacerotidae	Gadiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Chaenocephalus_aceratus_1736	Chaenocephalus_aceratus_1736	Chaenocephalus_aceratus_1736	Circovirus	OMOC01089202.1	Chaenocephalus_aceratus	-	Channichthyidae	Perciformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Chaenocephalus_aceratus_2419	Chaenocephalus_aceratus_2419	Chaenocephalus_aceratus_2419	Circovirus	OMOC01059069.1	Chaenocephalus_aceratus	-	Channichthyidae	Perciformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Chromis_chromis_3848	Chromis_chromis_3848	Chromis_chromis_3848	Circovirus	OMNN01088615.1	Chromis_chromis	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Chromis_chromis_7327	Chromis_chromis_7327	Chromis_chromis_7327	Circovirus	OMNN01024441.1	Chromis_chromis	-	Pomacentridae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cirrhinus_molitorella_360	Cirrhinus_molitorella_360	Cirrhinus_molitorella_360	Circovirus	SCHJ01112372.1	Cirrhinus_molitorella	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Clupea_harengus_2192899	Clupea_harengus_2192899	Clupea_harengus_2192899	Circovirus	gi|829735156|ref|NW_012220668.1|	Clupea_harengus	-	Clupeidae	Clupeiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_10685	Cyprinus_carpio_10685	Cyprinus_carpio_10685	Circovirus	LN592292.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
