taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Agapornis_roseicollis_1	Agapornis_roseicollis_1	Agapornis_roseicollis_1	Circovirus	NDXB01007873.1	Agapornis_roseicollis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Agapornis_roseicollis_2	Agapornis_roseicollis_2	Agapornis_roseicollis_2	Circovirus	NDXB01042494.1	Agapornis_roseicollis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Agapornis_roseicollis_33	Agapornis_roseicollis_33	Agapornis_roseicollis_33	Circovirus	NDXB01025889.1	Agapornis_roseicollis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Agapornis_roseicollis_9084	Agapornis_roseicollis_9084	Agapornis_roseicollis_9084	Circovirus	NDXB01015985.1	Agapornis_roseicollis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Amazona_aestiva_45091	Amazona_aestiva_45091	Amazona_aestiva_45091	Circovirus	LMAW01000593.1	Amazona_aestiva	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Amazona_vittata_3365	Amazona_vittata_3365	Amazona_vittata_3365	Circovirus	KB264869.1	Amazona_vittata	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Amazona_vittata_8443	Amazona_vittata_8443	Amazona_vittata_8443	Circovirus	KB274708.1	Amazona_vittata	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Ara_macao_8544	Ara_macao_8544	Ara_macao_8544	Circovirus	KE028244.1	Ara_macao	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Eupsittula_pertinax_152345356	Eupsittula_pertinax_152345356	Eupsittula_pertinax_152345356	Circovirus	WUQE01007556.1	Eupsittula_pertinax	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Guaruba_guarouba_33323	Guaruba_guarouba_33323	Guaruba_guarouba_33323	Circovirus	JAABOC010001853.1	Guaruba_guarouba	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Melopsittacus_undulatus_9079676	Melopsittacus_undulatus_9079676	Melopsittacus_undulatus_9079676	Circovirus	JH556610	Melopsittacus_undulatus	-	Psittaculidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Nestor_notabilis_75800	Nestor_notabilis_75800	Nestor_notabilis_75800	Circovirus	scaffold7610	Nestor_notabilis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Pionus_senilis_25	Pionus_senilis_25	Pionus_senilis_25	Circovirus	WURU01357921.1	Pionus_senilis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Pionus_senilis_37856310	Pionus_senilis_37856310	Pionus_senilis_37856310	Circovirus	WURU01006779.1	Pionus_senilis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Pionus_senilis_52	Pionus_senilis_52	Pionus_senilis_52	Circovirus	WURU01187005.1	Pionus_senilis	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Psittacula_krameri_256543	Psittacula_krameri_256543	Psittacula_krameri_256543	Circovirus	NFZL01001157.1	Psittacula_krameri	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Psittacula_krameri_6134809	Psittacula_krameri_6134809	Psittacula_krameri_6134809	Circovirus	NFZL01000322.1	Psittacula_krameri	-	Psittacidae	Psittaciformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Serinus_canaria_2938709	Serinus_canaria_2938709	Serinus_canaria_2938709	Circovirus	gi|668343355|ref|NW_007931126.1|	Serinus_canaria	-	Fringillidae	Passeriformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Serinus_canaria_419	Serinus_canaria_419	Serinus_canaria_419	Circovirus	gi|668298665|ref|NW_007975816.1|	Serinus_canaria	-	Fringillidae	Passeriformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Serinus_canaria_6116815	Serinus_canaria_6116815	Serinus_canaria_6116815	Circovirus	gi|668343340|ref|NW_007931141.1|	Serinus_canaria	-	Fringillidae	Passeriformes
alignment/AL_ecv-circo.2-psittaciformes-con/member/fasta-digs-circo-ecv/Strigops_habroptilus_25936	Strigops_habroptilus_25936	Strigops_habroptilus_25936	Circovirus	RXXF01000146.1	Strigops_habroptilus	-	Psittacidae	Psittaciformes
