taxon	sequenceID	genus	clade	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_001792	NC_001792	Circovirus	Mammal-1	-	-	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_001944	NC_001944	Circovirus	Avian-1	-	-	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_003410	NC_003410	Circovirus	Avian-1	-	serinus canaria	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_005148	NC_005148	Circovirus	Mammal-1	AUT1	-	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_007220	NC_007220	Circovirus	Avian-2	33753-52	Pekin duck	-	USA
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_008033	NC_008033	Circovirus	Avian-1	-	European Starling (Sturnus vulgaris)	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_008375	NC_008375	Circovirus	Avian-1	4-1131	Corvus coronoides	-	Australia
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_008521	NC_008521	Circovirus	Avian-1	-	gull	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_008522	NC_008522	Circovirus	Avian-1	-	finch	-	-
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_015399	NC_015399	Circovirus	Fish-1	-	Barbus barbus (barbel)	-	Hungary
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_020904	NC_020904	Circovirus	Mammal-1	UCD1-1698	Canis lupus familiaris	-	USA
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_023885	NC_023885	Circovirus	Mammal-1	-	mink	-	China
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_025246	NC_025246	Circovirus	Fish-2	H5	-	-	Hungary
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_025247	NC_025247	Circovirus	Avian-2	H51	mute swan (Cygnus olor)	-	Germany
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_026639	NC_026639	CRESS-1	CRESS	AHEaCV-13-NZ-1986SG-2012	-	-	New Zealand
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_026945	NC_026945	Circovirus	Avian-1	8454V25-1	Taeniopygia guttata	-	Germany
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_028045	NC_028045	Circovirus	Mammal-2	-	Tadarida brasiliensis (bat)	-	Brazil
alignment/AL_UNC_CRESS_Rep/member/ncbi-refseqs/NC_031753	NC_031753	Circovirus	Mammal-2	-	Sus scrofa	-	USA: North Carolina
