taxon	sequenceID	pubmed_id	length	genus	family	name	full_name	clade	isolate	host_sci_name	sample_date	country
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/JN857329	JN857329	22345464	1578	CRESS-3	CRESS-3	batCV-Sc703	Circoviridae batCV-SC703	Unclassified	-	-	2007	China
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/JQ412057	JQ412057	22465471	2220	Gemycircularvirus	Genomoviridae	C-aGmycV	Cassava associated gemycircularvirus 1	Unclassified	G5	cassava	2010	Ghana
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/JX185416	JX185416	22915694	1915	-	-	-	-	-	TO-DF13-2010	Diplacodes bipunctata	2010	Tonga: Tongatapu
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/JX185428	JX185428	22915694	2208	Gemyduguivirus	Genomoviridae	D-aGmydgV	Dragonfly-associated circular virus 3	Unclassified	TO-DFS3B2-2010	Pantala flavescens	2010	Tonga: Tongatapu
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/JX185429	JX185429	22915694	2236	Gemygorvirus	Genomoviridae	D-aGmygV	Dragonfly-associated circular virus 2	Unclassified	FL2-5X-2010	Erythemis simplicicollis	2010	USA: St. Petersburg, Florida
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/KC699544	KC699544	-	2735	-	-	-	-	-	FbLCV-Cas-Jal	Cassia tora	2013	India
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/KF371630	KF371630	23994297	2122	Gemytondvirus	Genomoviridae	F-aGmytV	Faecal-associated gemycircularvirus 12	Unclassified	as3	Struthio camelus	2011	New Zealand
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/KF371631	KF371631	23994297	2159	Gemykroznavirus	Genomoviridae	F-aGmykzV	Faecal-associated gemycircularvirus 11	Unclassified	as35	Oryctolagus cuniculus	2009	New Zealand
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/KJ888053	KJ888053	-	2798	Begomovirus	Geminiviridae	EaCMKv	East African cassava mosaic Kenya virus	Unclassified	MG:MG584A6:11	cassava	2011	Madagascar
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/KX867027	KX867027	-	2925	-	-	-	-	-	CTS06-081	Beta vulgaris	2006	USA: Wyoming
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/MF669476	MF669476	29334978	2926	Porprismacovirus	Smacoviridae	CBSV	Cattle blood-associated circovirus-like virus 	Smacovirus	-	-	2016	China
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/MK059757	MK059757	-	3026	Brisavirus	Redondoviridae	Hla-Brisavirus	Human lung-associated brisavirus RC	Brisavirus	-	Homo sapiens	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/MK059763	MK059763	-	3056	Vientovirus	Redondoviridae	HLVV	Human lung-associated vientovirus FB	Vientovirus	-	Homo sapiens	-	-
