taxon	sequenceID	pubmed_id	length	genus	name	full_name	clade	isolate	host_sci_name	sample_date	country
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182568	AB182568	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	YCC-IN1P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182569	AB182569	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	YCC-IN2P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182570	AB182570	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	RRP-JP11P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182571	AB182571	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	RRP-JP12P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182572	AB182572	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BTP-SA11P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB182573	AB182573	15781996	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	RL-JP1P	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277726	AB277726	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA1P-1	Psittacus erithacus erithacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277727	AB277727	-	444	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA1P-2	Psittacus erithacus erithacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277728	AB277728	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA1P-3	Psittacus erithacus erithacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277729	AB277729	-	444	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA1P-4	Psittacus erithacus erithacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277730	AB277730	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA1P-5	Psittacus erithacus erithacus	-	Japan
