taxon	sequenceID	pubmed_id	length	genus	name	full_name	clade	isolate	host_sci_name	sample_date	country
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277746	AB277746	20658313	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	MU-JP1P	Melopsittacus undulatus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277747	AB277747	20658313	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	MU-JP2P	Melopsittacus undulatus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB514568	AB514568	20035119	1991	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	Japan:Fukuoka
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF071878	AF071878	9787657	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF080560	AF080560	9791035	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311297	AF311297	-	1992	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua tenuirostris	-	Australia: Southern Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311298	AF311298	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eolophus roseicapillus	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311300	AF311300	-	1995	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua leabeateri	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311301	AF311301	-	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	Australia: Northern Territory
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311302	AF311302	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AJ605577	AJ605577	-	598	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
