sequence-ID	name	full_name	genus	clade	isolation_source
NC_001944	BFDV	Beak and feather disease virus	Circovirus	Avian-1	Psittaciformes
NC_002361	CoCV	Columbid circovirus	Circovirus	Avian-1	
NC_008033	StCV	Starling circovirus	Circovirus	Avian-1	
NC_003410	CaCV	Canary circovirus	Circovirus	Avian-1	Serinus canaria
NC_008033	SvCV	Starling circovirus	Circovirus	Avian-1	Sturnus vulgaris
NC_008375	RaCV	Raven circovirus	Circovirus	Avian-1	Corvus coronoides
NC_008521	GuCV	Gull circovirus	Circovirus	Avian-1	Larus argentatus
NC_008522	FiCV	Finch circovirus	Circovirus	Avian-1	Chloebia gouldiae
NC_026945	ZfCV	Zebra finch circovirus	Circovirus	Avian-1	Taeniopygia guttata
NC_007220	DuCV	Duck circovirus	Circovirus	Avian-2	Anas platyrhynchos
NC_025247	SwCV	Swan circovirus	Circovirus	Avian-2	Cygnus olor
NC_015399	BarbCV	Barbel circovirus	Circovirus	Fish-1	Barbus barbus
NC_025246	SgCV	Wels catfish circovirus	Circovirus	Fish-2	Siluris glanis
NC_001792	PCV-1	Porcine circovirus 1	Circovirus	Mammal-1	Sus scrofa
NC_005148	PCV-2	Porcine circovirus 2	Circovirus	Mammal-1	Sus scrofa
NC_020904	CfCV	Canine circovirus 1	Circovirus	Mammal-1	Canis familiaris
NC_023885	MiCV	Mink circovirus	Circovirus	Mammal-1	Neovison vison
NC_028045	TbCV	Mexican free-tailed bat circovirus	Circovirus	Mammal-2	Tadarida brasiliensis
NC_031753	PCV-3	Porcine circovirus 3	Circovirus	Mammal-2	Sus scrofa
NC_026641	AHEaCV-14	Avon-Heatchote Estuary Associated Virus 14	CRESS	CRESS	
NC_025710	Circoviridae 5-LDMD-2013	Circoviridae 5-LDMD-2014	CRESS	CRESS	
NC_025716	Circoviridae 11-LDMD-2013	Circoviridae 11-LDMD-2014	CRESS	CRESS	
NC_025717	Circoviridae 13-LDMD-2013	Circoviridae 13-LDMD-2014	CRESS	CRESS	
NC_025720	Circoviridae 16-LDMD-2013	Circoviridae 16-LDMD-2014	CRESS	CRESS	
NC_026639	AHEaCV-13	Avon-Heatchote Estuary Associated Virus 13	CRESS	CRESS	
NC_026648	AHEaCV-21	Avon-Heatchote Estuary Associated Virus 21	CRESS	CRESS	
NC_027795	COACV	Calanoida sp. copepod associated circular virus	CRESS	CRESS	Calanoida
NC_014930	NGchicken15	Cyclovirus NGchicken15/NGA/2009	Cyclovirus	Cyclovirus-1	Gallus gallus
NC_034977		Duck associated cyclovirus 1 strain DuACyV-1/1 	Cyclovirus	Cyclovirus-1	Anas platyrhynchos
NC_034547		Bat cyclovirus GF-4c putative Rep and putative Cap genes 	Cyclovirus	Cyclovirus-1	bat 
NC_025791		Bat circovirus POA/2012/II 	Cyclovirus	Cyclovirus-1	bat colony
NC_025792		Bat circovirus POA/2012/VI 	Cyclovirus	Cyclovirus-1	bat colony
NC_025476		Cyclovirus ZM36a DNA 	Cyclovirus	Cyclovirus-1	Crocidura hirta
NC_023866		Dragonfly cyclovirus 5 isolate PR-6E-2010 	Cyclovirus	Cyclovirus-1	Erythrodiplax umbrata
NC_024700		Feline cyclovirus 	Cyclovirus	Cyclovirus-1	Felis catus
NC_021707		Cyclovirus VN isolate hcf1 	Cyclovirus	Cyclovirus-1	Homo sapiens
NC_032682		Indian encephalitis associated cyclovirus isolate IECSF08 	Cyclovirus	Cyclovirus-1	Homo sapiens
NC_023874		Human associated cyclovirus 10 strain 7078A 	Cyclovirus	Cyclovirus-1	Homo sapiens
NC_020206		Florida woods cockroach-associated cyclovirus isolate GS140,	Cyclovirus	Cyclovirus-1	Eurycotis floridana
NC_021568		Human cyclovirus VS5700009 	Cyclovirus	Cyclovirus-1	Homo sapiens
NC_023869		Dragonfly cyclovirus 2 isolate FL1-NZ38-2010 	Cyclovirus	Cyclovirus-1	Pantala flavescens
NC_014929		Cyclovirus bat/USA/2009 	Cyclovirus	Cyclovirus-1	
NC_023867		Dragonfly cyclovirus 4 isolate BG-NZ46-2007 	Cyclovirus	Cyclovirus-1	Somatochlora meridionalis
NC_023886		Dragonfly cyclovirus isolate DfCyV-A1_To-6NZ21-Tt-2010  	Cyclovirus	Cyclovirus-1	Tholymis tillarga
KJ641714	BtRp-CV-14	Bat circovirus isolate BtRp-CV-14/GD2012	Cyclovirus	Cyclovirus-3	
